language	term	count
ko_kp	김일성	2
ko_kp	끝내기	2
ko_kp	물길굴확장	2
ko_kp	결정관철을	2
ko_kp	도의	2
ko_kp	드높은	2
ko_kp	의해	2
ko_kp	높아지고있다	2
ko_kp	일군들의	2
ko_kp	동음을	2
ko_kp	김책공업종합대학	2
ko_kp	튼튼히	2
ko_kp	기술전을	2
ko_kp	앞선	2
ko_kp	진행하여	2
ko_kp	이에	2
ko_kp	수도건설의	2
ko_kp	평양이	2
ko_kp	날을	2
ko_kp	평양의	2
ko_kp	뜨겁게	2
ko_kp	새겨안고있다	2
ko_kp	평양은	2
ko_kp	합니다	2
ko_kp	련이어	2
ko_kp	전성기를	2
ko_kp	아니라	2
ko_kp	확신을	2
ko_kp	살림집건설은	2
ko_kp	최중대과업으로	2
ko_kp	인민들과	2
ko_kp	변화를	2
ko_kp	하나하나의	2
ko_kp	일떠서는	2
ko_kp	해도	2
ko_kp	등을	2
ko_kp	건설에서	2
ko_kp	령도에	2
ko_kp	의하여	2
ko_kp	기적의	2
ko_kp	０００여	2
ko_kp	３만	2
ko_kp	달하는	2
ko_kp	공공건물	2
ko_kp	갖춘	2
ko_kp	５개년계획의	2
ko_kp	명당자리에	2
ko_kp	일떠세워	2
ko_kp	의도를	2
ko_kp	또다시	2
ko_kp	국가특유의	2
ko_kp	향유하는	2
ko_kp	살림집건설과	2
ko_kp	건설에	2
ko_kp	살림집을	2
ko_kp	특색있는	2
ko_kp	크게	2
ko_kp	주체조선의	2
ko_kp	화성지구에	2
ko_kp	강한	2
ko_kp	상업	2
ko_kp	３단계	2
ko_kp	화성지구가	2
ko_kp	오늘의	2
ko_kp	２０２６년	2
ko_kp	인민적인	2
ko_kp	인민대중제일주의건축의	2
ko_kp	발전상을	2
ko_kp	행복의	2
ko_kp	대번영기를	2
ko_kp	１５일	2
ko_kp	２０２５년	2
ko_kp	위용을	2
ko_kp	건축물들이	2
ko_kp	인민대중제일주의를	2
ko_kp	구현한	2
ko_kp	진정한	2
ko_kp	무엇보다도	2
